Timestamp,SecurityId,Best_Bid_Price,Best_Bid_Qty,Best_Ask_Price,Best_Ask_Qty
2026-08-11T08:38:41.988140,1594,1188.6,571.0,1188.9,12.0
2026-08-11T08:38:41.988488,4963,1421.2,181.0,1421.6,379.0
2026-08-11T08:38:41.988886,3045,1070.4,101.0,1070.5,159.0
2026-08-11T08:38:41.989223,3456,347.75,239.0,347.85,9.0
2026-08-11T08:38:41.989660,1922,391.2,108.0,391.25,3826.0
2026-08-11T08:38:41.989905,11483,4042.0,822.0,4043.3,13.0
2026-08-11T08:38:41.990161,11915,22.66,90763.0,22.67,11700.0
2026-08-11T08:38:42.991627,1333,728.8,3857.0,728.85,371.0
2026-08-11T08:38:42.991849,2885,1324.2,1.0,1324.3,16.0
2026-08-11T08:38:42.992029,11536,2440.3,15.0,2440.4,10.0
2026-08-11T08:38:42.992208,1594,1188.6,537.0,1188.9,15.0
2026-08-11T08:38:42.992510,4963,1421.4,1.0,1421.6,380.0
2026-08-11T08:38:42.992822,3045,1070.3,22.0,1070.5,50.0
2026-08-11T08:38:42.993058,3456,347.8,1.0,347.85,9.0
2026-08-11T08:38:42.993290,1922,391.2,108.0,391.25,4682.0
2026-08-11T08:38:42.993520,11483,4042.1,11.0,4043.3,12.0
2026-08-11T08:38:42.993819,11915,22.66,90631.0,22.67,11631.0
2026-08-11T08:38:43.995604,1333,728.8,3866.0,728.85,178.0
2026-08-11T08:38:43.995823,2885,1324.2,1.0,1324.3,7.0
2026-08-11T08:38:43.996051,11536,2440.4,4.0,2440.5,63.0
2026-08-11T08:38:43.996298,1594,1188.6,472.0,1188.9,41.0
2026-08-11T08:38:43.996540,4963,1421.2,813.0,1421.4,1.0
2026-08-11T08:38:43.996799,3045,1070.2,106.0,1070.3,1.0
2026-08-11T08:38:43.997116,3456,347.8,1.0,347.85,8.0
2026-08-11T08:38:43.997340,1922,391.2,104.0,391.25,4682.0
2026-08-11T08:38:43.997550,11483,4042.0,821.0,4043.3,12.0
2026-08-11T08:38:43.997861,11915,22.66,90631.0,22.67,11631.0
2026-08-11T08:38:44.999693,1333,728.8,3797.0,728.85,288.0
2026-08-11T08:38:44.999973,2885,1324.2,1.0,1324.3,7.0
2026-08-11T08:38:45.000227,11536,2440.4,3.0,2440.5,63.0
2026-08-11T08:38:45.000446,1594,1188.7,137.0,1189.2,1396.0
2026-08-11T08:38:45.000662,4963,1421.2,970.0,1421.6,375.0
2026-08-11T08:38:45.000859,3045,1070.2,96.0,1070.5,95.0
2026-08-11T08:38:45.001075,3456,347.8,1.0,347.85,128.0
2026-08-11T08:38:45.001264,1922,391.2,104.0,391.25,4682.0
2026-08-11T08:38:45.001516,11483,4042.2,1.0,4043.3,12.0
2026-08-11T08:38:45.001816,11915,22.66,90631.0,22.67,11631.0
2026-08-11T08:38:46.003400,1333,728.85,80.0,728.9,305.0
2026-08-11T08:38:46.003604,2885,1324.2,463.0,1324.3,3.0
2026-08-11T08:38:46.003804,11536,2440.4,33.0,2440.5,62.0
2026-08-11T08:38:46.004004,1594,1188.7,886.0,1189.1,588.0
2026-08-11T08:38:46.004198,4963,1421.2,970.0,1421.5,231.0
2026-08-11T08:38:46.004379,3045,1070.2,287.0,1070.5,46.0
2026-08-11T08:38:46.004685,3456,347.85,1.0,347.9,421.0
2026-08-11T08:38:46.004948,1922,391.2,139.0,391.25,4682.0
2026-08-11T08:38:46.005165,11483,4042.2,1.0,4043.3,11.0
2026-08-11T08:38:46.005368,11915,22.66,90633.0,22.67,11631.0
2026-08-11T08:38:47.007056,1333,728.85,239.0,728.9,295.0
2026-08-11T08:38:47.007234,2885,1324.2,463.0,1324.4,163.0
2026-08-11T08:38:47.007363,11536,2440.4,34.0,2440.5,62.0
2026-08-11T08:38:47.007481,1594,1188.9,1.0,1189.1,625.0
2026-08-11T08:38:47.007574,4963,1421.2,970.0,1421.5,231.0
2026-08-11T08:38:47.007661,3045,1070.2,287.0,1070.5,33.0
2026-08-11T08:38:47.007751,3456,347.85,1.0,347.9,421.0
2026-08-11T08:38:47.007850,1922,391.2,138.0,391.25,4682.0
2026-08-11T08:38:47.008169,11483,4042.2,1.0,4043.3,11.0
2026-08-11T08:38:47.008477,11915,22.66,84857.0,22.67,11631.0
2026-08-11T08:38:48.010264,1333,728.9,463.0,729.0,3114.0
2026-08-11T08:38:48.010480,2885,1324.1,462.0,1324.4,160.0
2026-08-11T08:38:48.010684,11536,2440.4,110.0,2440.5,61.0
2026-08-11T08:38:48.010899,1594,1188.8,10.0,1189.1,482.0
2026-08-11T08:38:48.011160,4963,1421.2,970.0,1421.5,231.0
2026-08-11T08:38:48.011418,3045,1070.2,579.0,1070.5,15.0
2026-08-11T08:38:48.011656,3456,347.85,1.0,347.9,420.0
2026-08-11T08:38:48.012006,1922,391.2,142.0,391.25,4682.0
2026-08-11T08:38:48.012202,11483,4042.2,1.0,4043.3,11.0
2026-08-11T08:38:48.012370,11915,22.66,84855.0,22.67,11631.0
2026-08-11T08:38:49.014823,1333,728.95,684.0,729.0,3737.0
2026-08-11T08:38:49.015076,2885,1324.0,1002.0,1324.4,312.0
2026-08-11T08:38:49.015307,11536,2440.4,169.0,2440.5,27.0
2026-08-11T08:38:49.015556,1594,1188.8,10.0,1189.1,462.0
2026-08-11T08:38:49.015819,4963,1421.2,879.0,1421.5,232.0
